,precision,recall,f1-score,support
Acne,0.8666666666666667,0.896551724137931,0.8813559322033898,29.0
Acute_Angle_Closure_Glaucoma,1.0,1.0,1.0,12.0
Acute_Bronchitis,0.8181818181818182,0.8709677419354839,0.84375,31.0
Acute_Cholecystitis,1.0,1.0,1.0,11.0
Acute_HIV_Syndrome,0.875,0.5833333333333334,0.7,12.0
Acute_Kidney_Injury,1.0,1.0,1.0,18.0
Acute_Myocardial_Infarction,0.9444444444444444,1.0,0.9714285714285714,17.0
Acute_Otitis_Media,1.0,1.0,1.0,22.0
Acute_Pancreatitis,0.9375,1.0,0.967741935483871,15.0
Acute_Sinusitis,0.9714285714285714,1.0,0.9855072463768116,34.0
Adrenal_Insufficiency,1.0,0.8461538461538461,0.9166666666666666,13.0
Allergic_Rhinitis,0.9777777777777777,1.0,0.9887640449438202,44.0
Alopecia_Areata,1.0,1.0,1.0,10.0
Anaphylaxis,1.0,0.9333333333333333,0.9655172413793104,15.0
Ankylosing_Spondylitis,1.0,0.875,0.9333333333333333,16.0
Aortic_Dissection,1.0,1.0,1.0,9.0
Appendicitis,1.0,1.0,1.0,20.0
Asthma_Exacerbation,0.8666666666666667,0.8387096774193549,0.8524590163934426,31.0
Atopic_Dermatitis,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0
Atrial_Fibrillation,0.9375,0.8823529411764706,0.9090909090909091,17.0
Bacterial_Conjunctivitis,0.9666666666666667,0.9354838709677419,0.9508196721311475,31.0
Bacterial_Pneumonia,1.0,0.8518518518518519,0.92,27.0
Bells_Palsy,1.0,1.0,1.0,20.0
Benign_Positional_Vertigo,1.0,0.9655172413793104,0.9824561403508771,29.0
Benign_Prostatic_Hyperplasia,0.88,0.9166666666666666,0.8979591836734694,24.0
Bipolar_Mania,1.0,0.9,0.9473684210526315,10.0
Bladder_Cancer,0.8888888888888888,1.0,0.9411764705882353,16.0
Bursitis,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
COPD_Exacerbation,0.7857142857142857,0.7586206896551724,0.7719298245614035,29.0
COVID_19,1.0,0.935064935064935,0.9664429530201343,77.0
Cardiomyopathy,1.0,0.9090909090909091,0.9523809523809523,11.0
Carpal_Tunnel_Syndrome,1.0,0.9473684210526315,0.972972972972973,19.0
Cataract,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
Celiac_Disease,0.8461538461538461,1.0,0.9166666666666666,11.0
Cellulitis,1.0,1.0,1.0,16.0
Cervical_Cancer,1.0,0.9375,0.967741935483871,16.0
Chickenpox,0.9473684210526315,0.8571428571428571,0.9,21.0
Chikungunya,0.8823529411764706,1.0,0.9375,15.0
Cholera,0.9444444444444444,1.0,0.9714285714285714,17.0
Chronic_Kidney_Disease,1.0,1.0,1.0,20.0
Cirrhosis,1.0,1.0,1.0,10.0
Cluster_Headache,1.0,1.0,1.0,10.0
Colorectal_Cancer,0.95,1.0,0.9743589743589743,19.0
Common_Cold,0.9529411764705882,0.9878048780487805,0.9700598802395209,82.0
Concussion,0.9545454545454546,1.0,0.9767441860465116,21.0
Constipation,0.7647058823529411,0.8387096774193549,0.8,31.0
Contact_Dermatitis,0.696969696969697,0.8518518518518519,0.7666666666666667,27.0
Corneal_Abrasion,1.0,0.5882352941176471,0.7407407407407407,17.0
Crohn_Disease,1.0,1.0,1.0,17.0
Cushing_Syndrome,1.0,1.0,1.0,7.0
Deep_Vein_Thrombosis,1.0,1.0,1.0,12.0
Dehydration,1.0,1.0,1.0,26.0
Dementia,0.9166666666666666,1.0,0.9565217391304348,22.0
Dengue,0.96,0.96,0.96,25.0
Dental_Abscess,1.0,0.8571428571428571,0.9230769230769231,21.0
Diabetic_Ketoacidosis,1.0,1.0,1.0,14.0
Diverticulitis,0.6875,0.9166666666666666,0.7857142857142857,12.0
Dry_Eye_Syndrome,1.0,1.0,1.0,37.0
Dysmenorrhea,1.0,1.0,1.0,32.0
Ectopic_Pregnancy,1.0,1.0,1.0,15.0
Encephalitis,1.0,1.0,1.0,11.0
Endometriosis,1.0,1.0,1.0,20.0
Epididymitis,0.8888888888888888,1.0,0.9411764705882353,16.0
Epilepsy,0.96,1.0,0.9795918367346939,24.0
Fatty_Liver_Disease,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
Fibromyalgia,0.9473684210526315,0.9,0.9230769230769231,20.0
Food_Poisoning,0.9523809523809523,0.9090909090909091,0.9302325581395349,66.0
GERD,1.0,1.0,1.0,36.0
