,Acne,Acute_Angle_Closure_Glaucoma,Acute_Bronchitis,Acute_Cholecystitis,Acute_HIV_Syndrome,Acute_Kidney_Injury,Acute_Myocardial_Infarction,Acute_Otitis_Media,Acute_Pancreatitis,Acute_Sinusitis,Adrenal_Insufficiency,Allergic_Rhinitis,Alopecia_Areata,Anaphylaxis,Ankylosing_Spondylitis,Aortic_Dissection,Appendicitis,Asthma_Exacerbation,Atopic_Dermatitis,Atrial_Fibrillation,Bacterial_Conjunctivitis,Bacterial_Pneumonia,Bells_Palsy,Benign_Positional_Vertigo,Benign_Prostatic_Hyperplasia,Bipolar_Mania,Bladder_Cancer,Bursitis,COPD_Exacerbation,COVID_19,Cardiomyopathy,Carpal_Tunnel_Syndrome,Cataract,Celiac_Disease,Cellulitis,Cervical_Cancer,Chickenpox,Chikungunya,Cholera,Chronic_Kidney_Disease,Cirrhosis,Cluster_Headache,Colorectal_Cancer,Common_Cold,Concussion,Constipation,Contact_Dermatitis,Corneal_Abrasion,Crohn_Disease,Cushing_Syndrome,Deep_Vein_Thrombosis,Dehydration,Dementia,Dengue,Dental_Abscess,Diabetic_Ketoacidosis,Diverticulitis,Dry_Eye_Syndrome,Dysmenorrhea,Ectopic_Pregnancy,Encephalitis,Endometriosis,Epididymitis,Epilepsy,Fatty_Liver_Disease,Fibromyalgia,Food_Poisoning,GERD,Gallstones,Gastritis,Generalized_Anxiety_Disorder,Glomerulonephritis,Gout,Hand_Foot_Mouth_Disease,Heart_Failure,Heat_Exhaustion,Heat_Stroke,Hemorrhoids,Hepatitis_A,Hepatitis_B,Hyperkalemia,Hypertension,Hyperthyroidism,Hypoglycemia,Hyponatremia,Hypotension,Hypothyroidism,Impetigo,Infectious_Mononucleosis,Infective_Endocarditis,Influenza,Insomnia_Disorder,Iron_Deficiency_Anemia,Irritable_Bowel_Syndrome,Ischemic_Stroke,Japanese_Encephalitis,Kala_Azar,Kidney_Stone,Labyrinthitis,Lactose_Intolerance,Laryngitis,Leptospirosis,Leukemia,Lower_UTI,Lumbar_Strain,Lyme_Disease,Lymphoma,Major_Depressive_Disorder,Malaria,Measles,Melanoma,Meniere_Disease,Meningitis,Menopause,Migraine,Multiple_Sclerosis,Mumps,Myositis,Nephrotic_Syndrome,Obstructive_Sleep_Apnea,Osteoarthritis,Osteoporosis_Fracture,Otitis_Externa,Overactive_Bladder,Panic_Disorder,Parkinson_Disease,Pelvic_Inflammatory_Disease,Peptic_Ulcer_Disease,Pericarditis,Periodontitis,Peripheral_Artery_Disease,Peripheral_Neuropathy,Pertussis,Pleurisy,Pneumothorax,Polycystic_Ovary_Syndrome,Polymyalgia_Rheumatica,Post_Traumatic_Stress_Disorder,Prostatitis,Psoriasis,Pulmonary_Embolism,Pyelonephritis,RSV_Infection,Rabies,Retinal_Detachment,Rheumatoid_Arthritis,Rubella,Scabies,Schizophrenia,Sciatica,Sepsis,Septic_Arthritis,Shingles,Sjogren_Syndrome,Somatic_Symptom_Disorder,Stable_Angina,Streptococcal_Pharyngitis,Supraventricular_Tachycardia,Systemic_Lupus_Erythematosus,Temporomandibular_Disorder,Tendinitis,Tension_Headache,Testicular_Torsion,Tetanus,Tinea_Infection,Tonsillitis,Transient_Ischemic_Attack,Trigeminal_Neuralgia,Tuberculosis,Type_1_Diabetes,Type_2_Diabetes,Typhoid_Fever,Ulcerative_Colitis,Urticaria,Viral_Conjunctivitis,Viral_Gastroenteritis,Viral_Pneumonia,Vitamin_B12_Deficiency,Vulvovaginal_Candidiasis
Acne,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_Angle_Closure_Glaucoma,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_Bronchitis,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_Cholecystitis,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_HIV_Syndrome,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_Kidney_Injury,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_Myocardial_Infarction,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_Otitis_Media,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_Pancreatitis,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_Sinusitis,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrenal_Insufficiency,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Allergic_Rhinitis,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
