slice,value,records,accuracy,macro_f1
Age_Group,40-59,1327,0.947249434815373,0.9257417476556599
Age_Group,18-39,1266,0.9494470774091627,0.9192719008816101
Age_Group,60+,945,0.9513227513227513,0.9471828051831859
Age_Group,0-17,264,0.9393939393939394,0.9057614092023003
Pregnancy_Status,Not_Applicable,2529,0.9466192170818505,0.9477888505606918
Pregnancy_Status,No,1130,0.9539823008849557,0.9233003864170316
Pregnancy_Status,Yes,79,0.9240506329113924,0.8298850574712644
Pregnancy_Status,Unknown,64,0.953125,0.946
Sex,Female,1904,0.9558823529411765,0.9488061290396694
Sex,Male,1854,0.941747572815534,0.9419302168702967
Sex,Other,44,0.9090909090909091,0.8234234234234235
Smoking_Status,Never,2608,0.9447852760736196,0.9449009200759227
Smoking_Status,Current,601,0.9683860232945092,0.9456063710384494
Smoking_Status,Former,593,0.9443507588532883,0.9276354921247477
True_Category,Respiratory,651,0.9431643625192012,0.7557844443587953
True_Category,Gastrointestinal,557,0.940754039497307,0.8434497253803408
True_Category,Neurological,381,0.9816272965879265,0.8852977189895572
True_Category,Dermatological,320,0.875,0.6518649948505696
True_Category,Endocrine_Metabolic,319,0.9749216300940439,0.7163862309176366
True_Category,Musculoskeletal_Autoimmune,288,0.9618055555555556,0.7951338569158639
True_Category,Eye_ENT_Dental,268,0.9440298507462687,0.7651876617741359
True_Category,Tropical_Infectious_Other,238,0.9159663865546218,0.608044324285992
True_Category,Renal_Urological,221,0.9683257918552036,0.8778937679691903
True_Category,Cardiovascular,200,0.95,0.7859589361266203
True_Category,Reproductive,190,0.9894736842105263,0.9866564043608305
True_Category,Mental_Behavioral,169,0.9644970414201184,0.9650568943595084
